지점,지점명,일시,일강수량(mm)
90,속초,2015-05-30,0.1
90,속초,2015-06-05,2.0
90,속초,2015-06-11,0.2
90,속초,2015-06-12,1.5
90,속초,2015-06-13,1.5
90,속초,2015-06-14,2.5
90,속초,2015-06-18,1.0
90,속초,2015-06-25,0.5
90,속초,2015-06-26,114.5
90,속초,2015-06-27,1.5
90,속초,2015-06-30,2.5
90,속초,2015-07-01,7.5
90,속초,2015-07-02,2.0
90,속초,2015-07-03,11.0
90,속초,2015-07-04,0.0
90,속초,2015-07-08,11.0
90,속초,2015-07-09,1.5
90,속초,2015-07-12,24.0
90,속초,2015-07-14,2.0
90,속초,2015-07-16,0.4
90,속초,2015-07-17,0.0
90,속초,2015-07-18,0.1
90,속초,2015-07-19,6.5
90,속초,2015-07-20,5.0
90,속초,2015-07-21,0.1
90,속초,2015-07-22,0.0
90,속초,2015-07-23,26.0
90,속초,2015-07-24,48.0
90,속초,2015-07-25,15.0
90,속초,2015-07-26,0.1
90,속초,2015-07-29,2.6
90,속초,2015-07-31,0.3
90,속초,2015-08-01,22.0
90,속초,2015-08-02,2.6
90,속초,2015-08-03,0.0
90,속초,2015-08-08,16.9
90,속초,2015-08-13,59.0
90,속초,2015-08-14,0.6
90,속초,2015-08-16,25.1
90,속초,2015-08-17,0.7
90,속초,2015-08-18,1.4
90,속초,2015-08-20,0.0
90,속초,2015-08-21,0.0
90,속초,2015-08-24,19.6
90,속초,2015-08-25,41.5
90,속초,2015-08-26,1.6
90,속초,2015-08-31,7.6
90,속초,2015-09-01,1.0
90,속초,2015-09-02,2.6
90,속초,2015-09-03,1.2
90,속초,2015-09-05,3.3
90,속초,2015-09-06,4.0
90,속초,2015-09-07,0.2
90,속초,2015-09-10,0.0
90,속초,2015-09-11,1.2
90,속초,2015-09-12,0.0
90,속초,2015-10-01,14.8
90,속초,2015-10-10,0.0
90,속초,2015-10-18,0.0
90,속초,2015-10-19,0.0
90,속초,2015-10-21,5.6
90,속초,2015-10-22,7.0
90,속초,2015-10-24,0.0
90,속초,2015-10-26,0.0
90,속초,2015-10-27,0.0
90,속초,2015-10-29,0.0
90,속초,2015-11-06,1.6
90,속초,2015-11-07,56.5
90,속초,2015-11-08,35.5
90,속초,2015-11-09,27.7
90,속초,2015-11-10,5.0
90,속초,2015-11-11,67.5
90,속초,2015-11-12,6.2
90,속초,2015-11-13,31.9
90,속초,2015-11-14,50.7
90,속초,2015-11-16,12.5
90,속초,2015-11-17,1.5
90,속초,2015-11-18,21.3
90,속초,2015-11-19,0.6
90,속초,2015-11-22,60.0
90,속초,2015-11-23,38.3
90,속초,2015-11-24,22.0
90,속초,2015-11-25,24.7
90,속초,2015-11-29,0.0
90,속초,2015-11-30,0.0
90,속초,2015-12-02,0.0
90,속초,2015-12-03,0.2
90,속초,2015-12-10,0.0
90,속초,2015-12-11,1.3
90,속초,2015-12-14,0.0
90,속초,2015-12-21,0.2
90,속초,2015-12-23,0.0
90,속초,2015-12-26,0.0
90,속초,2015-12-31,0.0
90,속초,2016-01-16,0.0
90,속초,2016-01-29,2.9
90,속초,2016-01-30,3.7
90,속초,2016-02-06,4.3
90,속초,2016-02-08,0.0
90,속초,2016-02-09,1.1
90,속초,2016-02-12,2.7
90,속초,2016-02-13,13.4
90,속초,2016-02-14,8.3
