ACT,Movie1,Movie2,Movie3,Movie4,Movie5,Movie6,Movie7,Movie8,Movie9,Movie10
CHRISTINE PALMER,Doctor Strange,,,,,,,,,
THE ANCIENT ONE ,Doctor Strange,Avengers: Endgame,,,,,,,,
BARON MORDO,Doctor Strange,,,,,,,,,
KAECILIUS,Doctor Strange,,,,,,,,,
JONATHAN PANGBORN,Doctor Strange,,,,,,,,,
STAR LORD (Peter Quill),Guardians of the Galaxy,Guardians of the Galaxy Vol 2,Avengers: Infinity War,Avengers: Endgame,Guardians of the Galaxy Vol 3,,,,,
GAMORA,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,Avengers: Infinity War,Avengers: Endgame,Guardians of the Galaxy Vol 3,,,,,
DRAX THE DESTROYER,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,Avengers: Infinity War,Avengers: Endgame,Guardians of the Galaxy Vol 3,,,,,
MANTIS,Guardians of the Galaxy Vol 2,Avengers: Infinity War,Avengers: Endgame,Guardians of the Galaxy Vol 3,,,,,,
ROCKET RACCOON,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,Avengers: Infinity War,Avengers: Endgame,Guardians of the Galaxy Vol 3,,,,,
GROOT,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,Avengers: Infinity War,Avengers: Endgame,Guardians of the Galaxy Vol 3,,,,,
NEBULA,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,Avengers: Infinity War,Avengers: Endgame,,,,,,
YONDU,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,,,,,,,,
KRAGLIN,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,,,,,,,,
EGO THE LIVING PLANET,Guardians of the Galaxy Vol 2,,,,,,,,,
AYESHA,Guardians of the Galaxy Vol 2,,,,,,,,,
TASERFACE,Guardians of the Galaxy Vol 2,,,,,,,,,
THE GRANDMASTER,Thor: Ragnarok,,,,,,,,,
THE COLLECTOR,Thor: The Dark World,Guardians of the Galaxy,Avengers: Infinity War,,,,,,,
MEREDITH QUILL,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,,,,,,,,
PETER QUILL (young),Guardians of the Galaxy,Guardians of the Galaxy Vol 2,,,,,,,,
SPIDER-MAN (Peter Parker),Captain America: Civil War,Spider-man: Homecoming,Avengers: Infinity War,Avengers: Endgame,Spider-man: Far From Home,Spider-man 3,,,,
NED LEEDS,Spider-man: Homecoming,Avengers: Infinity War,Spider-man: Far From Home,,,,,,,
MICHELLE **MJ** WATSON,Spider-man: Homecoming,Spider-man: Far From Home,,,,,,,,
LIZ ALLEN,Spider-man: Homecoming,,,,,,,,,
FLASH THOMPSON,Spider-man: Homecoming,Spider-man: Far From Home,,,,,,,,
BRAD DAVIS,Spider-man: Far From Home,,,,,,,,,
AUNT MAY,Captain America: Civil War,Spider-man: Homecoming,Spider-man: Far From Home,Spider-man 3,,,,,,
J JONAH JAMESON,Spider-man: Far From Home,,,,,,,,,
THE VULTURE (Adrian Toomes),Spider-man: Homecoming,,,,,,,,,
MYSTERIO (Quentin Beck),Spider-man: Far From Home,,,,,,,,,
PROWLER (Aaron Davis),Spider-man: Homecoming,,,,,,,,,
THE SCORPION (Mac Gargan),Spider-man: Homecoming,,,,,,,,,
THE SHOCKER (Jackson Brice),Spider-man: Homecoming,,,,,,,,,
THE SHOCKER II (Herman Schultz),Spider-man: Homecoming,,,,,,,,,
THE TINKERER (Phineas Mason),Spider-man: Homecoming,,,,,,,,,
KAREN (voice),Spider-man: Homecoming,,,,,,,,,
DIMITRI,Spider-man: Far From Home,,,,,,,,,
ANNE MARIE HOAG,Spider-man: Homecoming,,,,,,,,,
PRINCIPAL MORITA,Captain America: The First Avenger,Spider-man: Homecoming,Spider-man: Far From Home,,,,,,,
MR. HARRINGTON,Spider-man: Homecoming,Spider-man: Far From Home,,,,,,,,
MS WARREN,Spider-man: Homecoming,,,,,,,,,
MR DELL,Spider-man: Far From Home,,,,,,,,,
COACH WILSON,Spider-man: Homecoming,,,,,,,,,
BLACK PANTHER (Prince T'Challa),Captain America: Civil War,Black Panther,Avengers: Infinity War,Avengers: Endgame,,,,,,
ERIK KILLMONGER,Black Panther,,,,,,,,,
PRINCESS SHURI,Black Panther,Avengers: Infinity War,Avengers: Endgame,,,,,,,
ULYSSES KLAW,Avengers: Age of Ultron,Black Panther,,,,,,,,
NAKIA,Black Panther,,,,,,,,,
EVERETT ROSS,Captain America: Civil War,Black Panther,,,,,,,,
ZURI,Black Panther,,,,,,,,,
OKOYE,Black Panther,Avengers: Infinity War,Avengers: Endgame,,,,,,,
M'BAKU,Black Panther,Avengers: Endgame,,,,,,,,
W'KABI,Black Panther,,,,,,,,,
QUEEN RAMONDA,Black Panther,,,,,,,,,
KING T'CHAKA,Captain America: Civil War,Black Panther,,,,,,,,
N'JOBU,Black Panther,,,,,,,,,
CAPTAIN MARVEL (Carol Danvers),Captain Marvel,Avengers: Endgame,,,,,,,,
YON-ROGG,Captain Marvel,,,,,,,,,
TALOS,Captain Marvel,Spider-man: Far From Home,,,,,,,,
MAR-VELL,Captain Marvel,,,,,,,,,
PHOTON (Maria Rambeau),Captain Marvel,,,,,,,,,
SPECTRUM (Monica Rambeau),WandaVision,,,,,,,,,
RONAN THE ACCUSER,Guardians of the Galaxy,Captain Marvel,,,,,,,,
KORATH THE PURSUER,Guardians of the Galaxy,Captain Marvel,,,,,,,,
ATT-LASS,Captain Marvel,,,,,,,,,
BRON-CHAR,Captain Marvel,,,,,,,,,
SHANG CHI,Shang Chi: Legend of the Ten Rings,,,,,,,,,
LEIKO WU,Shang Chi: Legend of the Ten Rings,,,,,,,,,
THE MANDARIN,Shang Chi: Legend of the Ten Rings,,,,,,,,,
AJAK,Eternals,,,,,,,,,
IKARIS,Eternals,,,,,,,,,
SERSI,Eternals,Captain Marvel,,,,,,,,
THENA,Eternals,,,,,,,,,
KINGO,Eternals,,,,,,,,,
MAKKARI,Eternals,,,,,,,,,
PHASTOS,Eternals,,,,,,,,,
GILGAMESH,Eternals,,,,,,,,,
DRUIG,Eternals,,,,,,,,,
SPRITE,Eternals,,,,,,,,,
BLACK KNIGHT,Eternals,,,,,,,,,
THANOS,The Avengers,Guardians of the Galaxy,Avengers: Infinity War,Avengers: Endgame,,,,,,
EBONY MAW,Avengers: Infinity War,Avengers: Endgame,,,,,,,,
PROXIMA MIDNIGHT,Avengers: Infinity War,Avengers: Endgame,,,,,,,,
CORVUS GLAIVE,Avengers: Infinity War,Avengers: Endgame,,,,,,,,
CULL OBSIDIAN,Avengers: Infinity War,Avengers: Endgame,,,,,,,,
THE OTHER ,The Avengers,Guardians of the Galaxy,,,,,,,,
BLADE (Eric Brooks),Blade,Luke Cage,,,,,,,,
THE WATCHER,Guardians of the Galaxy Vol 2,,,,,,,,,
NOVA PRIME,Guardians of the Galaxy,,,,,,,,,
RHOMANN DEY,Guardians of the Galaxy,,,,,,,,,
DENARIAN SAAL,Guardians of the Galaxy,,,,,,,,,
STARHAWK,Guardians of the Galaxy Vol 2,,,,,,,,,
MARTINEX,Guardians of the Galaxy Vol 2,,,,,,,,,
CHARLIE-27,Guardians of the Galaxy Vol 2,,,,,,,,,
ALETA OGORD,Guardians of the Galaxy Vol 2,,,,,,,,,
MAINFRAME,Guardians of the Galaxy Vol 2,,,,,,,,,
HOWARD THE DUCK,Guardians of the Galaxy,Guardians of the Galaxy Vol 2,,,,,,,,
DAREDEVIL (Matt Murdock),Daredevil,The Defenders,,,,,,,,
KAREN PAGE,Daredevil,The Defenders,The Punisher,,,,,,,
FOGGY NELSON,Daredevil,Luke Cage,The Defenders,Iron Fist,,,,,,
THE KINGPIN (Wilson Fisk),Daredevil,,,,,,,,,
ALEXANDRA,The Defenders,,,,,,,,,
BULLSEYE,Daredevil,,,,,,,,,
ELEKTRA,Daredevil,The Defenders,,,,,,,,
STICK,Daredevil,The Defenders,,,,,,,,
BEN URICH,Daredevil,,,,,,,,,
OWL,Daredevil,,,,,,,,,
THE PUNISHER (Frank Castle),Daredevil,The Punisher,,,,,,,,
JIGSAW (Billy Russo),The Punisher,,,,,,,,,
MICROCHIP (David Lieberman),The Punisher,,,,,,,,,
DINAH MADANI,The Punisher,,,,,,,,,
JESSICA JONES,Jessica Jones,The Defenders,,,,,,,,
HELLCAT (Trish Walker),Jessica Jones,The Defenders,,,,,,,,
PURPLE MAN (Kilgrave),Jessica Jones,,,,,,,,,
JERI HOGARTH,Jessica Jones,Daredevil,Iron Fist,The Defenders,,,,,,
ALISA JONES,Jessica Jones,,,,,,,,,
LUKE CAGE (Carl Lucas),Jessica Jones,Luke Cage,The Defenders,,,,,,,
CLAIRE TEMPLE,Daredevil,Jessica Jones,Luke Cage,The Defenders,Iron Fist,,,,,
MISTY KNIGHT,Luke Cage,The Defenders,Iron Fist,,,,,,,
COTTONMOUTH (Cornell Stokes),Luke Cage,,,,,,,,,
DIAMONDBACK (Willis Stryker),Luke Cage,,,,,,,,,
BUSHMASTER (John McIver),Luke Cage,,,,,,,,,
BLACK MARIAH (Mariah Dillard),Luke Cage,,,,,,,,,
SHADES (Herman Alvarez),Luke Cage,,,,,,,,,
NIGHTSHADE (Tilda Johnson),Luke Cage,,,,,,,,,
